,1,,日付,,,,「テーマ予定」シート,,2026/03/05,,2025/05/01,2025/06/01,2025/07/01,2025/08/01,2025/09/01,2025/10/01,2025/11/01,2025/12/01,2026/01/01,2026/02/01,2026/03/01,2026/04/01,,2025/05/22,2025/06/26,2025/07/10,2025/08/07,2025/09/11,2025/10/02,2025/10/16,2025/10/23,2025/10/28,2025/11/06,2025/11/11,2025/11/13,2025/11/18,2025/11/20,2025/11/25,2025/11/27,2025/12/02,2025/12/04,2025/12/11,2025/12/16,2025/12/19,2025/12/23,2026/01/06,2026/01/08,2026/01/13,2026/01/15,2026/01/20,2026/01/22,2026/01/27,2026/02/12,2026/02/17,2026/02/19,2026/02/24,2026/02/26,2026/03/10,2026/03/17,2026/03/24,2026/03/31,,,,,,,,,,,,,,,,,,,,,,
,2,,sem,,,,「テーマ予定」シート,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,Sem01,Sem02,Sem03,Sem04,Sem05,Sem06,Sem07,Sem08,Sem09,Sem10,Sem11,Sem12,Sem13,Sem14,Sem15,Sem16,Sem17,Sem18,Sem19,Sem20,Sem21,Sem22,Sem23,Sem24,Sem25,Sem26,Sem27,Sem28,Sem29,Sem30,Sem31,Sem32,Sem33,Sem34,Sem35,Sem36,Sem37,Sem38,,,,,,,,,,,,,,,,,,,,,,
,3,,開催回数,,,,,,34,,1,1,1,1,1,4,7,6,7,5,0,0,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,4,,カテゴリ,,,,「テーマ予定」シート,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,外国人材採用,外国人材採用,外国人材採用,外国人材採用,外国人材採用,企業事例,海外紹介,制度紹介,制度紹介,日本語教育,海外紹介,企業事例,海外紹介,外国人材採用,制度紹介,制度紹介,海外紹介,海外紹介,制度紹介,海外紹介,海外紹介,海外紹介,海外紹介,外国人材採用,制度紹介,外国人材採用,海外紹介,外国人材採用,海外紹介,業界特化,業界特化,業界特化,業界特化,業界特化,業界特化,業界特化,業界特化,業界特化,,,,,,,,,,,,,,,,,,,,,,
,5,,登壇者,,,,「テーマ予定」シート,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,徳田,徳田,徳田,樋田,杉田,松井,ウメシュ,杉田,-,和田,タオ,松井,ラジブ,フン,座安さん？,座安さん？,アンディ,-,座安さん？,ギリ,トーマス,スベディ,アンディ,-,座安さん？,-,ラジブ,浅原,トーマス,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
,6,,配信形式,,,,「テーマ予定」シート,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,ライブ,ライブ,ライブ,ライブ,ライブ,ライブ,ライブ,録画,録画,ライブ,ライブ,録画,ライブ,ライブ,ライブ,ライブ,ライブ,録画,録画,ライブ,ライブ,ライブ,録画,ライブ,録画,ライブ,録画,ライブ,録画,ライブ,ライブ,ライブ,ライブ,ライブ,ライブ,ライブ,ライブ,ライブ,,,,,,,,,,,,,,,,,,,,,,
,25,,,,低,,「zoho」シート,,65,,0,0,0,0,3,21,16,25,0,0,0,0,,0,0,0,0,3,10,8,3,0,2,2,0,3,2,6,1,3,1,3,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,26,セミナーweb集客,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,リーチ,,,,「広宣費」シート,,"499,285",,"16,321","52,497","21,089","14,682","17,846","116,157","128,960","72,737","58,996",0,0,0,,"16,321","52,497","21,089","14,682","17,846","37,245","38,613","24,531","15,768","12,352","31,208","12,905","32,114","15,685","15,378","9,318","18,438","8,068","6,287","14,720","10,917","14,307","10,932","8,336","6,763","6,515","16,553","3,791","6,106",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,CV,,,,「広宣費」シート,,596,,11,31,36,29,9,101,154,131,94,0,0,0,,11,31,36,29,9,28,49,16,8,23,20,7,42,7,42,13,24,15,26,27,32,7,11,8,11,5,39,11,9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,CV rate,,,cal,,0.12%,,0.07%,0.06%,0.17%,0.20%,0.05%,0.09%,0.12%,0.18%,0.16%,-,-,-,,0.07%,0.06%,0.17%,0.20%,0.05%,0.08%,0.13%,0.07%,0.05%,0.19%,0.06%,0.05%,0.13%,0.04%,0.27%,0.14%,0.13%,0.19%,0.41%,0.18%,0.29%,0.05%,0.10%,0.10%,0.16%,0.08%,0.24%,0.29%,0.15%,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
,30,,集客費,,,,「広宣費」シート,,"2,134,261",,"38,290","146,098","69,971","53,067","69,084","437,011","668,931","330,451","321,358",0,0,0,,"38,290","146,098","69,971","53,067","69,084","145,618","99,070","95,895","96,428","97,817","89,241","99,731","93,117","96,364","99,192","93,469","100,747","49,700","50,331","44,654","41,862","43,157","49,210","50,672","50,045","49,329","47,196","44,416","30,490",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,31,セミナー獲得単価集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CV単価,,,,cal,,"3,581",,"3,481","4,713","1,944","1,830","7,676","4,327","4,344","2,523","3,419",n/a,n/a,n/a,,"3,481","4,713","1,944","1,830","7,676","5,201","2,022","5,993","12,054","4,253","4,462","14,247","2,217","13,766","2,362","7,190","4,198","3,313","1,936","1,654","1,308","6,165","4,474","6,334","4,550","9,866","1,210","4,038","3,388",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,
,33,,総リード単価,,,,cal,,"3,116",,"4,254","4,297","1,794","1,965","2,093","3,582","3,935","2,562","4,343",0,n/a,n/a,,"4,254","4,297","1,794","1,965","2,093","3,552","1,801","5,993","9,643","3,373","4,250","19,946","2,069","9,636","2,156","6,676","11,194","2,485","1,936","1,717","1,196","3,320","6,151","8,445","5,561","24,665","1,573","3,173","6,098",0,0,0,0,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,
,34,,,有効/無効別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,,,有効リード単価,,cal,,"34,988",,n/a,"36,525","6,997","17,689","69,084","145,670","55,744","27,538","107,119",0,n/a,n/a,,n/a,"36,525","6,997","17,689","69,084",n/a,"49,535","95,895",n/a,"97,817","44,621",n/a,"93,117","48,182","24,798","46,735","100,747",n/a,"16,777","22,327","8,372","43,157",n/a,n/a,"50,045",n/a,"47,196","44,416",n/a,0,0,0,0,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,
,36,,,,無効リード単価,,cal,,"3,420",,"4,254","4,870","2,413","2,211","2,159","3,672","4,234","2,824","4,526",0,n/a,n/a,,"4,254","4,870","2,413","2,211","2,159","3,552","1,869","6,393","9,643","3,493","4,697","19,946","2,116","12,046","2,362","7,789","12,593","2,485","2,188","1,861","1,395","3,596","6,151","8,445","6,256","24,665","1,627","3,417","6,098",0,0,0,0,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,
,37,,,検討段階別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,,,,高,,cal,,"50,816",,0,0,0,0,0,0.00002745926304,"66,893",0.00006052334537,0,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,"24,270","24,768",n/a,"48,214","48,909","89,241","99,731","93,117",n/a,"24,798","93,469","33,582","16,567",n/a,"14,885","6,977","8,631",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,
,39,,,,中,,cal,,"118,570",,0,0,0,0,0.00005790052689,0.00000915308768,"74,326",0.000003026167268,0,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,"17,271",n/a,"49,535","95,895","96,428","32,606",n/a,n/a,"93,117",n/a,"19,838",n/a,n/a,n/a,"50,331",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,
,40,,,,低,,cal,,"32,835",,0,0,0,0,0.00004342539517,0.00004805371032,"41,808",0.00007565418171,0,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,"23,028","14,562","12,384","31,965",n/a,"48,909","44,621",n/a,"31,039","48,182","16,532","93,469","33,582","49,700","16,777","14,885","2,990","43,157",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,
